productId,productName,productBrand,price,description
1,camiseta surf, adidas,12, camisa polo verde tamanho P
2,camisa polo, polo,78, camisa polo verde tamanho M
3,saia, marisa,25, saia tamanho P
4,camiseta, besni,47, camisetas cores variadas
5,camisa sem gola, element,13, camisa sem gola P
6,camisa manga longa, puma,17, camisa polo verde tamanho P
7,camisa manga curta, levis,38, camisa manga curta tamanho G
8,camisa polo listrada, CK,58, camisa polo listrada tamanho P
9,camiseta padrao, surfwear,35, camiseta cores variadas
10,camiseta verde, disney,50, camisa polo verde tamanho P
